,Ciudad,Codigo,Letra,X,Y,T
,Santo Domingo,330030,B,1.64,5.44,9.5
,El Paico,330113,C,2,5.6,10.7
,El Milagro,330160,F,1.84,7.47,10.8
,Rio Clarillo,330075,G,2.14,6.32,12.8
,Talgante,330071,E,3.19,9.06,11.0
,San Antonio,330161,H,5.34,7.66,8.3
,Chorombo Hacienda,330076,I,6.75,7.69,9.2
,San José Guayacan,330112,J,5.49,6.79,10.6
,"Aguas Andinas, La Florida",330122,K,4.98,5.61,13.3
,Curacaví,330121,L,6.01,5.07,11.3
,Lo Prado Cerro San Francisco,330111,M,6.86,5.12,18.4
,San Pablo,330114,N,7.14,4.77,15.7
,Quinta Normal,330020,O,6.59,4.01,13.9
,"Eulogio Sánchez, Tobalaba",330019,P,9.23,3.45,20.3
,Pudahuel Santiago,330021,Q,7.71,2.69,14.3
,El Colorado,330077,R,6.89,2.75,8.8
,Lo Pinto,330118,S,6.49,2.78,13.5
,Colina,330162,T,6.27,3.23,13.0
,Peldehue,330163,U,5.28,2.66,13.3
,Polpaico,330081,V,7.71,2.04,20.9
,Llanos de Caleu,330193,W,8.89,1.55,16.1
,Rodelillo,330007,Z,4,3.00,14.1
,Jardín Botánico (ex Parque Fauna),330006,A1,3.61,2.13,7.3
,Viña del Mar,320041,B1,1.94,2.14,11.8
,"Llay Llay, Las Penas",320045,C1,1.29,1.23,12.0
,"Quintero, Climatológica",320056,D1,4.94,0.87,10.0
,Catemu,320055,E1,5.89,1.13,11.3
,San Felipe Escuela Agrícola,320019,F1,6.39,0.53,14.0
,Zapallar C atapilco,320063,G1,8.01,0.71,9.6